Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Baden-Württemberg                       
5047,Titisee-Neustadt-Langenordnach          ,   47.939386,     8.19329,870,Rheinland-Pfalz                         
5049,Titisee-Neustadt-Titisee                ,    47.89909,    8.145997,846,Rheinland-Pfalz                         
5064,Tönisvorst                              ,   51.289722,    6.443651,37,Rheinland-Pfalz                         
5068,Torgau                                  ,     51.5833,13,80,Saarland                                
5078,Travemünde                              ,   53.961947,   10.889158,          2.3,Saarland                                
5094,Triberg                                 ,   48.131564,    8.228284,683,Saarland                                
5099,Trier-Zewen                             ,   49.732632,    6.613147,        131.5,Saarland                                
5100,Trier-Petrisberg                        ,   49.747883,    6.658296,265,Saarland                                
5111,Trostberg                               ,   48.031106,   12.539575,560,Saarland                                
5138,Überlingen/Bodensee                     ,   47.771308,    9.156156,446,Sachsen                                 
5142,Ueckermünde                             ,   53.744455,   14.069809,          1.2,Sachsen                                 
5146,Uelzen                                  ,   52.941435,   10.528857,50,Sachsen                                 
5149,Gollhofen                               ,   49.574055,   10.191544,306,Sachsen                                 
5155,Ulm                                     ,   48.383656,    9.952422,        566.8,Sachsen                                 
5165,Unterlüß                                ,   52.849932,   10.289833,95,Sachsen                                 
5229,Villingen-Schwenningen                  ,   48.045325,    8.460769,719,Sachsen                                 
5250,Vogtsburg-Oberrotweil                   ,   48.090768,    7.635268,223,Sachsen                                 
5296,Waldeck                                 ,   51.207015,     9.06584,376,Sachsen                                 
5300,Waldems-Reinborn                        ,   50.259603,    8.360676,380,Sachsen                                 
5320,Waldshut                                ,   47.617223,    8.238786,330,Sachsen                                 
5335,Waltershausen                           ,   50.896285,    10.54834,352,Sachsen                                 
5344,Wangerooge                              ,   53.786537,    7.909559,2,Sachsen                                 
5349,Waren (Müritz)                          ,   53.519622,   12.665404,         72.6,Sachsen                                 
5361,Wartenberg-Angersbach                   ,   50.627083,    9.441989,270,Sachsen-Anhalt                          
5369,Wasserburg                              ,   48.057192,   12.220222,443,Sachsen-Anhalt                          
5371,Wasserkuppe                             ,   50.497277,    9.942739,921,Sachsen-Anhalt                          
5397,Weiden                                  ,   49.666221,   12.184448,        439.6,Sachsen-Anhalt                          
5404,Weihenstephan-Dürnast                   ,   48.402404,   11.694552,        477.1,Sachsen-Anhalt                          
5410,Weilburg (Kläranlage)                   ,   50.473156,    8.258845,150,Sachsen-Anhalt                          
5419,Weimar                                  ,   50.975084,   11.307642,264,Sachsen-Anhalt                          
5424,Weimar-Schöndorf                        ,    51.01765,   11.354409,328,Sachsen-Anhalt                          
5433,Weiskirchen/Saar                        ,   49.553365,    6.811951,380,Sachsen-Anhalt                          
5434,Weismain                                ,   50.085754,   11.236431,317,Sachsen-Anhalt                          
5440,Weißenburg-Emetzheim                    ,    49.01153,   10.930837,        439.3,Sachsen-Anhalt                          
5467,Wendelstein                             ,   47.703531,   12.011857,1832,Sachsen-Anhalt                          
5488,Mühlhausen,   49.962162,   10.048207,216,Schleswig-Holstein                      
5490,Wernigerode                             ,    51.84544,   10.768627,        233.3,Schleswig-Holstein                      
5498,Wertheim-Eichel                         ,   49.766682,    9.542783,140,Schleswig-Holstein                      
5516,Fehmarn                                 ,   54.528292,   11.060556,          3.2,Schleswig-Holstein                      
5540,Wiesbaden (Süd)                         ,    50.06516,     8.25971,132,Schleswig-Holstein                      
5543,Wiesbaden-Dotzheim                      ,   50.086341,    8.187179,235,Schleswig-Holstein                      
5559,Wildbad,   48.784843,    8.576383,383,Schleswig-Holstein                      
5560,Wildbad,   48.750094,    8.536537,740,Schleswig-Holstein                      
5575,Wilhelmshaven                           ,   53.590139,    8.105969,1,Schleswig-Holstein                      
5582,Willingen/Upland                        ,   51.294004,    8.602609,580,Schleswig-Holstein                      
5610,Winterberg                              ,   51.187225,    8.507874,733,Schleswig-Holstein                      
5629,Wittenberg                              ,   51.889124,   12.644598,        104.5,Schleswig-Holstein                      
5644,Witzenhausen                            ,   51.349302,    9.843821,133,Schleswig-Holstein                      
5654,Wörnitz-Bottenweiler                    ,   49.217848,   10.229589,464,Schleswig-Holstein                      
5664,Wolfach                                 ,   48.295324,    8.239068,296,Schleswig-Holstein                      
5692,Worms                                   ,   49.605078,    8.365906,88,Schleswig-Holstein                      
5705,Würzburg                                ,   49.770378,    9.957627,268,Schleswig-Holstein                      
5717,Wuppertal-Buchenhofen                   ,   51.225598,    7.105176,134,Thüringen                               
5731,Wutöschingen-Ofteringen                 ,   47.678267,    8.380132,        394.5,Thüringen                               
5732,Wrixum/Föhr                             ,   54.692781,    8.527128,8,Thüringen                               
5745,Zehdenick                               ,   52.966344,   13.326752,51,Thüringen                               
5750,Zeitz                                   ,   51.031411,    12.14949,264,Thüringen                               
5792,Zugspitze                               ,   47.421037,   10.984761,       2964.5,Thüringen                               
5802,Zwieselberg                             ,   49.000693,   13.213664,615,Thüringen                               
5825,Berge                                   ,   52.619829,   12.786684,40,Thüringen                               
5890,Kohlgrub,   47.677728,   11.047292,850,Thüringen                               
5906,Mannheim                                ,   49.506251,    8.558439,98,Thüringen                               
5912,Malsfeld                                ,   51.098847,    9.538035,169,Thüringen                               
5920,Neuwied                                 ,   50.448498,     7.42749,91,Thüringen                               
5941,Reit im Winkl                           ,   47.675415,   12.469775,        685.5,Thüringen                               
6159,Dörpen                                  ,   52.954182,    7.319582,8,Thüringen                               
7135,Aulendorf-Haslach                       ,   47.965473,    9.680409,565,Thüringen                               
14311,Hersdorf-Weißenseifen                   ,   50.149979,    6.552789,530,Thüringen                               
19087,Freyung vorm Wald                       ,   48.804879,   13.552775,645,Thüringen                               
